ID	Name	Type	Orig	New Morph	New Obj Type	LType	LCode	LValue	LMorph	Bar	Ring	
D02289	NGC 4632	galaxy--spiral	SAc	SAc	S	G	5.0 ± 0.7	5	Sc			
F00266	NGC 4633	galaxy--spiral		SABd	I	G	7.9 ± 1.0	7.9	SABd	B		
D02290	NGC 4634	barred-spiral	SBcd	SBc	B	G	5.8 ± 0.5	5.8	SBc	B		
D02291	NGC 4635	galaxy--spiral	SABc	SABc	I	G	6.6 ± 0.7	6.6	SABc	B		
D00496	NGC 4636	galaxy--elliptical	E/S0-1(E1)	E3	E	G	-4.8 ± 0.5	-4.8	E			
F01005	NGC 4637	galaxy--unclassified		S0	L	G	-2.2 ± 0.9	-2.2	S0			
F01003	NGC 4638	galaxy--lenticular		E-S0	L	G	-2.6 ± 0.7	-2.6	E-S0	B		
F00267	NGC 4639	galaxy--spiral	SAbc	SAbc	S	G	3.6 ± 0.7	3.6	Sbc	B	R	
D00497	NGC 4643	galaxy--lenticular	SB(rs)0/a	S0-a	L	G	-0.5 ± 0.9	-0.5	S0-a	B	R	
D01305	NGC 4645	galaxy--elliptical	E3	E3	E	G	-3.9 ± 0.7	-3.9	E			
F01004	NGC 4647	galaxy--spiral		SABc	I	G	5.1 ± 0.6	5.1	SABc	B	R	
F00258	NGC 4648	galaxy--elliptical	E3	E3	E	G	-4.9 ± 0.3	-4.9	E		R	
D01304	NGC 4650	barred-spiral	SBa	S0-a	L	G	0.3 ± 0.7	0.3	S0-a	B		
D00696	NGC 4651	galaxy--spiral	SA(rs)c	SA(rs)c	S	G	5.1 ± 0.6	5.1	Sc			
F01602	NGC 4653	galaxy--spiral	SABc	SABc	I	G	5.9 ± 0.4	5.9	SABc	B		
D00498	NGC 4654	galaxy--spiral	SAc	SAc	S	G	5.9 ± 0.5	5.9	Sc	B	R	
D00150	NGC 4656	barred-spiral	Sc	SBm	B	G	9.0 ± 0.7	9	SBm	B		
D02292	NGC 4659	galaxy--spiral	S0-Aa	S0-a	L	G	-0.1 ± 0.6	-0.1	S0-a	B	R	
D00499	NGC 4660	galaxy--elliptical	E5	E3	E	G	-4.6 ± 0.7	-4.6	E	B		
F00598	NGC 4661	barred-spiral	SBa	E-S0	L	G	-3.4 ± 1.2	-3.4	E-S0			
D00911	NGC 4664	barred-spiral	SB(s)0/a	S0-a	L	G	-0.6 ± 1.0	-0.6	S0-a	B	R	
D00501	NGC 4666	galaxy--spiral	SABc:	SABc:	I	G	5.0 ± 0.8	5	SABc	B		
F01603	NGC 4668	barred-spiral	SB	SAcd	S	G	7.5 ± 2.1	7.5	Scd	B		
F00861	NGC 467	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.4	-2	S0			
D02294	NGC 4670	galaxy--spiral	S0	SBa	B	G	0.7 ± 2.4	0.7	SBa	B		
F00270	NGC 4672	galaxy--spiral	Sa:	SAa	S	G	1.1 ± 0.7	1.1	Sa			
F00269	NGC 4673	galaxy--lenticular	S0	E3	E	G	-4.1 ± 1.4	-4.1	E			
D02868	NGC 4676A	barred-spiral	SBb(x)	S0-a	L	M2	-0.5 ± 1.0	-0.5	S0-a	B		
F01707	NGC 4676B	galaxy--spiral	SABdm(x)	S0-a	L	G	-0.5 ± 1.0	-0.5	S0-a	B		
D02295	NGC 4677	galaxy--spiral	Sa	S0-a	L	G	-1.0 ± 0.8	-1	S0-a	B		
D01318	NGC 4679	barred-spiral	SBc	SBc	B	G	4.9 ± 0.6	4.9	SBc	B		
D02296	NGC 4680	barred-spiral	SBc	S0-a	L	G	0.3 ± 1.5	0.3	S0-a	B		
D02297	NGC 4682	galaxy--spiral	Sc	SABc	I	G	5.7 ± 0.7	5.7	SABc	B		
F00271	NGC 4683	galaxy--spiral		E-S0	L	G	-2.9 ± 0.5	-2.9	E-S0	B		
D00502	NGC 4689	galaxy--spiral	Sb	SAc	S	G	4.7 ± 0.9	4.7	Sc			
D00699	NGC 4691	barred-spiral	(R)SB0/a(s)pec	S0-a pec	L	G	0.3 ± 0.9	0.3	S0-a	B		
F00599	NGC 4696	galaxy--elliptical	E3	E3	E	G	-3.8 ± 0.6	-3.8	E			
D00503	NGC 4698	barred-spiral	1	SAab	S	G	1.6 ± 1.0	1.6	Sab		R	
D00504	NGC 4699	galaxy--spiral	SAB(rs)b	SAB(rs)b	I	G	2.9 ± 0.4	2.9	SABb	B		
F00614	NGC 47	galaxy--unclassified		SBbc	B	G	4.0 ± 0.5	4	SBbc	B		
D00795	NGC 470	galaxy--spiral	Sbc	SAb	S	G	3.1 ± 0.4	3.1	Sb		R	
F00600	NGC 4706	galaxy--unclassified		S0	L	G	-1.9 ± 0.6	-1.9	S0	B		
D01316	NGC 4709	galaxy--elliptical	E3	E3	E	G	-4.5 ± 0.7	-4.5	E			
D00914	NGC 4710	galaxy--spiral	S0	S0-a	L	G	-0.9 ± 0.8	-0.9	S0-a	B	R	
F00670	NGC 4712	galaxy--spiral	Sc	SAbc	S	G	4.0 ± 0.3	4	Sbc			
D02298	NGC 4713	barred-spiral	SBcd	SAcd	S	G	6.8 ± 0.5	6.8	Scd	B		
D00505	NGC 4725	barred-spiral	SAB(r)sbpec	SAB(r)a pec	I	G	2.2 ± 0.6	2.2	SABa	B	R	
D02633	NGC 4729	galaxy--elliptical	E3	E3	E	G	-3.9 ± 0.6	-3.9	E			
